"userName","articlesReviewed","categoryName","categorydefinition","categoryLevel","status","relevantStatement","userId","pdfLink","insertionTime"
"shriyansh",1,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","No","Pending","we revealed that persistent and context-independent rescue of deficient fear extinction in these mice was associated with enhanced expression of dopamine-related genes, such as dopamine D1 (Drd1a) and -D2 (Drd2) receptor genes in the medial prefrontal cortex (mPFC) and amygdala, but not hippocampus.","2","https://www.ncbi.nlm.nih.gov/pubmed/27922638","2017-07-20 18:17:29"
"shriyansh",16,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","Yes","Pending"," Consistent with our hypothesis, participants in the active manipulation group showed facilitated automatic approach tendencies and reduced avoidance tendencies for contamination-related stimuli and completed more steps approaching their feared objects in a behavioral approach test compared with participants in the control group. Our results suggest that automatic action tendencies may play an important role in the maintenance of fear-related behavioral avoidance.","2","https://www.ncbi.nlm.nih.gov/pubmed/23163714","2017-07-27 12:50:59"
"mattkuntz",1,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","Yes","Pending"," In summary, current data reveal that combining dopaminergic and epigenetic mechanisms is a promising strategy to improve exposure-based behavior therapy in extinction-impaired individuals by initiating the formation of an enduring and context-independent fear-inhibitory memory.","4","https://www.ncbi.nlm.nih.gov/pubmed/27922638","2017-07-25 16:56:15"
"shriyansh",2,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","No","Pending","South African men are less likely to get tested for HIV than women and are more likely to commence antiretroviral treatment (ART) at later stages of disease, default on treatment, and to die from AIDS compared with women. The purpose of this study was to conduct formative research into the ideational and behavioral factors that enable or create obstacles to mens' uptake of HIV counseling and testing (HCT) and ART.","2","https://www.ncbi.nlm.nih.gov/pubmed/27923016","2017-07-25 17:41:14"
"shriyansh",3,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","Yes","Pending","Breast cancer is the most common cancer in women in the world, and it is also the leading cause of cancer deaths among women. Nevertheless, breast cancer survival has increased as a result of improvements in early diagnosis and therapy, for example, oral endocrine therapy. Despite the importance of adherence to endocrine therapy, its trend appears complex and multidimensional and therefore has many loopholes and missing information.","2","https://www.ncbi.nlm.nih.gov/pubmed/27922917","2017-07-25 17:41:39"
"shriyansh",4,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","No","Pending","Yet, the rapidity with which fear discrimination emerges remains unknown. Rapid fear discrimination in adulthood may be susceptible to impairment by adolescent heavy alcohol drinking, which increases incidence of anxiety disorders.","2","https://www.ncbi.nlm.nih.gov/pubmed/27918281","2017-07-25 17:45:15"
"shriyansh",5,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","No","Pending","Bariatric surgery is increasingly recognised as an effective treatment for type 2 diabetes that significantly improves glycaemic control, even achieving remission. This study examined perceptions and concerns of diabetic patients towards bariatric surgery as a treatment option for diabetes.","2","https://www.ncbi.nlm.nih.gov/pubmed/27922143","2017-07-25 17:47:53"
"shriyansh",6,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","Yes","Pending","These data suggest that repeated reminders and increased PKMÎ¶ maintain fear responses in juvenile animals that otherwise would not exhibit this behavior","2","https://www.ncbi.nlm.nih.gov/pubmed/27918276","2017-07-25 17:48:06"
"shriyansh",7,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","Not Sure","Pending","Single prolonged stress (SPS) has been used to examine mechanisms via which stress exposure leads to post-traumatic stress disorder symptoms. SPS induces fear extinction retention deficits, but neural circuits critical for mediating these deficits are unknown","2","https://www.ncbi.nlm.nih.gov/pubmed/27918273","2017-07-25 17:48:19"
"shriyansh",8,"Acute Threat(Fear)","Activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.","No","Pending","Diet continued to be employed as a means of management at a time when the nation was preoccupied by food because of the constraints imposed by rationing. The peptic ulcer phenomenon set much of the medical agenda for the war years and conflicted with the commonly held view that the British people had never been healthier.","2","https://www.ncbi.nlm.nih.gov/pubmed/27917025","2017-07-25 17:49:51"
